Month,Suggested Publish Date,Pillar,Working Title,Search Intent,Primary Keyword Focus,Secondary Keywords,Target Persona,CTA,Supporting Asset,Internal Links To Strengthen
Jan 2026,2026-01-09,Market Intelligence,"Kenya Real Estate Outlook 2026: Prices, Rents, and Yields",Informational,Kenya real estate 2026 outlook,"rental yield Nairobi, property price forecast Kenya",Investor/Analyst,Download the Outlook PDF,Quarterly index PDF + charts,"/projects, /investment-calculator, /blogs/nairobi-yields"
Jan 2026,2026-01-16,Due Diligence & Legal,Title Deed Deep-Dive: How to Verify Land Before You Pay,Transactional/Informational,how to verify a title deed in kenya,"land search Kenya, due diligence checklist",First-time buyer,Get the due diligence checklist,Checklist PDF + sample redacted searches,"/diaspora-investment, /blogs/legal-guides"
Jan 2026,2026-01-23,Diaspora Playbook,Diaspora Investment Start-of-Year Plan: From Savings to Keys in 12 Months,Informational,diaspora investment kenya,"how to buy property from abroad kenya, escrow kenya",Diaspora professional,Book a diaspora consult,12‑month roadmap infographic,"/diaspora-investment, /investment-calculator"
Jan 2026,2026-01-30,Construction Transparency,Inside the Site: January Quality Tests and What They Prove,Informational,construction quality kenya,"concrete testing kenya, site inspection report",Engineer-minded buyer,View January site report,Photo gallery + test results snippet,"/projects/kings-sapphire, /news"
Feb 2026,2026-02-06,Finance & Mortgages,"Mortgage Reality Check 2026: Rates, Deposits, and Approval Tactics",Commercial/Informational,mortgage kenya 2026,"deposit requirements kenya, mortgage approval tips kenya",Mortgage seeker,Calculate affordability,Calculator walkthrough video,"/investment-calculator, /blogs/mortgage-guide"
Feb 2026,2026-02-13,Case Study & Social Proof,From Rent to Ownership: How One Family Closed in 90 Days,Transactional/Informational,homeownership kenya case study,"closing process kenya, handover kings developers",Young family buyer,Book a site visit,Video testimonial + PDF case study,"/projects, /news/handover-ceremony"
Feb 2026,2026-02-20,Due Diligence & Legal,"Avoiding Off-Plan Pitfalls: Contracts, Escrow, and Milestones",Informational,off-plan property kenya risks,"escrow account kenya, stage payments kenya",Risk-averse buyer,Get the escrow checklist,Contract redlines cheat‑sheet,"/blogs/legal-guides, /projects"
Feb 2026,2026-02-27,Market Intelligence,Nairobi vs Thika vs Nakuru: Where KES 10M Works Hardest in 2026,Commercial/Informational,best places to invest kenya 2026,"roi thika, rental yields nakuru, westlands apartments",Yield-focused investor,Compare projects,ROI comparison table,"/projects, /blogs/city-yields"
Mar 2026,2026-03-06,Construction Transparency,"Structural Integrity 101: Foundations, Reinforcement, and Common Failures",Informational,building structure kenya,"foundation kenya, rebar kenya, structural engineer tips",Technical buyer,See our standards,Explainer diagrams,"/projects, /aboutus"
Mar 2026,2026-03-13,Diaspora Playbook,"Power of Attorney, Escrow, and Safe Payments for Overseas Buyers",Informational,power of attorney kenya property,"escrow kenya property, diaspora safe payments",Diaspora professional,Request PoA template,Template + step-by-step,"/diaspora-investment, /blogs/legal-guides"
